time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	group_intimate_space_intrusions	group_personal_space_intrusions	group_social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	
0.0	0.0	3.503190488778796	0	0	1	0	0	0	0	0	0	0.9608736634254456	-0.2456098347902298	0.0	0.0	0.7777073979377747	0.0001851910911485062	0.0001851910911485062	0.0003658874612286196	0.0	6.601181587373414e-08	
1.0	0.0654747486114502	3.43514360669037	0	0	1	0	0	0	0	0	0	0.9604602456092834	-0.2216605842113495	-0.0004134178161621094	-0.0004134178161621094	0.8975140452384949	0.0028557791147827576	0.002855779114782762	0.005707344250425643	0.0	7.830033378852753e-08	
2.0	0.5662038326263428	2.9087482452730464	0	0	1	0	0	1	0	0	0	0.9715505242347717	-0.038722556084394455	0.011090278625488281	0.011090278625488281	0.43313536047935486	0.02932959704396047	0.029329597043960445	0.058645599546997926	0.0	1.0123926661442795e-06	
3.0	0.42118382453918457	2.0038372224196253	0	0	1	0	0	1	0	0	0	0.9715524315834045	0.04850563034415245	1.9073486328125e-06	1.9073486328125e-06	0.44844889640808105	0.02011402948896471	0.02011402948896471	0.040227853424354226	0.0	8.313964839317123e-05	
4.0	0.13800740242004395	1.5459383336752368	0	0	1	0	1	0	0	0	0	0.9718355536460876	-0.592605710029602	0.00028312206268310547	0.00028312206268310547	0.5563222765922546	0.01571471061914446	0.01571471061914444	0.03142941002159598	0.0	0.0007928402714696859	
5.0	0.014114141464233398	1.0867208966301913	0	1	0	0	1	0	0	0	0	0.5473886728286743	0.509572446346283	-0.42444688081741333	-0.42444688081741333	0.7291424870491028	0.020891255404141974	0.020891255404141995	0.04174506914177282	0.0	0.007482059394169483	
6.0	0.3431816101074219	0.37938260768085735	1	0	0	0	0	1	0	0	0	0.5288137793540955	-0.1530419886112213	-0.018574893474578857	-0.018574893474578857	0.6775771379470825	0.029377652309687398	0.02937765230968736	0.056328214682491086	0.0	0.22603210361412493	
7.0	0.19244647026062012	0.8187451421300982	0	1	0	0	0	1	0	0	0	0.7165825963020325	-0.00019098359916824847	0.187768816947937	0.187768816947937	0.8418547511100769	0.48890055225981205	0.48890055225981205	0.9776486854423376	0.0	0.03794291063386481	
8.0	0.0019066333770751953	1.3826831852317514	0	0	1	0	0	1	0	0	0	0.9645113348960876	0.13038432598114014	0.24792873859405518	0.24792873859405518	1.0407994985580444	0.0749735861356439	0.07497358613564395	0.14992866956545728	0.0	0.001779051976336632	
9.0	0.3073267936706543	1.5556509087518355	0	0	1	0	0	1	0	0	0	0.9866205453872681	0.34489378333091736	0.02210921049118042	0.02210921049118042	0.34502750635147095	0.022780448438326672	0.022780448438326672	0.04555374221662696	0.0	0.0007867856059780465	
10.0	0.12124776840209961	1.046859056210493	0	1	0	0	0	1	0	0	0	0.9667948484420776	0.10410085320472717	-0.01982569694519043	-0.01982569694519043	0.29876086115837097	0.017488933550368013	0.017488933550368013	0.034957069354305925	0.0	0.00786847687716474	
11.0	0.14690613746643066	0.6913088067578985	0	1	0	0	0	1	0	0	0	0.9505936503410339	0.8222140073776245	-0.0162011981010437	-0.0162011981010437	0.18357697129249573	0.03446837364948766	0.03446837364948764	0.06542992442167775	0.0	0.04709228647029991	
12.0	0.29815149307250977	0.45963361760673666	0	1	0	0	0	1	0	0	0	0.9461188316345215	0.2301778644323349	-0.004474818706512451	-0.004474818706512451	0.12809334695339203	0.8794706152407756	0.8794706152407756	1.5621414469210735	0.0	0.16366054284419446	
13.0	0.45007848739624023	0.7214226046809946	0	1	0	0	1	0	0	0	0	0.7828113436698914	0.2068033367395401	-0.16330748796463013	-0.16330748796463013	0.16669601202011108	0.10187016698498226	0.10187016698498226	0.20350802215713953	0.0	0.06164132251505766	
