time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	group_intimate_space_intrusions	group_personal_space_intrusions	group_social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	
0.0	0.0	2.1497319022464545	0	0	1	0	0	0	0	0	0	0.94635009765625	0.0811375305056572	0.0	0.0	0.5213056206703186	0.00035620938042116296	0.00035620938042116236	0.000712418757480876	0.0	2.3647744094287873e-05	
1.0	0.09789170324802399	1.9185358076768584	0	0	1	0	0	0	0	0	0	0.8528428077697754	0.9941354393959045	-0.09350728988647461	-0.09350728988647461	0.8514222502708435	0.0004255068870017632	0.0004255068870017632	0.0008510137649474993	0.0	7.954582940229439e-05	
2.0	0.1769288033246994	1.880980814566475	0	0	1	0	0	1	0	0	0	0.9520126581192017	0.3567102551460266	0.09916985034942627	0.09916985034942627	0.9114400744438171	0.0007404145890491787	0.0007404145890491785	0.0014808291325921897	0.0	0.00010578185427098964	
3.0	0.23821306973695755	1.8529162324649973	0	0	1	0	0	1	0	0	0	0.9649752974510193	-0.14705830812454224	0.012962639331817627	0.012962639331817627	0.9113090634346008	0.0006487748852767	0.0006487748852767	0.0012975497904069671	0.0	0.00012989854067858232	
4.0	0.0675308033823967	0.9167333429153919	0	1	0	0	0	1	0	0	0	0.9618410468101501	0.5970476865768433	-0.0031342506408691406	-0.0031342506408691406	0.5593863725662231	0.0012524718690281342	0.001252471869028133	0.002504943687616808	0.0	0.01630768145308963	
5.0	0.35984037816524506	0.4786278625481502	0	1	0	0	0	1	0	0	0	0.9685778021812439	-0.15254034101963043	0.00673675537109375	0.00673675537109375	0.5112539529800415	0.00044645222301338745	0.00044645222301338745	0.0008928617921352847	0.0	0.15596131417987635	
6.0	0.20291036367416382	0.8069305193960721	0	1	0	0	0	1	0	0	0	0.9536029100418091	-0.4362978935241699	-0.014974892139434814	-0.014974892139434814	1.1297379732131958	0.026065604408728738	0.026065604408728762	0.05212761612747874	0.0	0.038858346501729105	
7.0	0.5119916796684265	0.6924099493184859	0	1	0	0	0	1	0	0	0	0.7451651692390442	0.76125168800354	-0.2084377408027649	-0.2084377408027649	0.7491192817687988	0.0020260328883913584	0.002026032888391361	0.002812900754218293	0.0	0.035867875743952025	
8.0	0.2612696886062622	0.5858404576360061	0	1	0	0	0	1	0	0	0	0.9706640243530273	-0.7234669327735901	0.22549885511398315	0.22549885511398315	0.8828799724578857	1.8740999192927163e-05	1.8740999192927166e-05	3.7185067893700804e-05	0.0	0.09270673598042664	
9.0	0.2948974296450615	1.5296881667857591	0	0	1	0	0	1	0	0	0	0.8208551406860352	0.5807101726531982	-0.1498088836669922	-0.1498088836669922	0.6517801284790039	7.013272159122262e-05	7.013272159122262e-05	0.00013615436080465426	0.0	0.0008286901983130645	
