time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	group_intimate_space_intrusions	group_personal_space_intrusions	group_social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	
0.0	0.0	6.058444993384917	0	0	0	0	0	0	0	0	0	0.7662611603736877	0.18029563128948212	0.0	0.0	0.6895901560783386	0.0001633201601865285	0.00016332016018652895	0.00023168793193265358	0.0	1.23246161903829e-13	
1.0	0.6080278307199478	5.332003714966999	0	0	0	0	0	0	0	0	0	0.9154618382453918	0.9057831168174744	0.1492006778717041	0.1492006778717041	0.6289941072463989	0.014210906183578835	0.014210906183578807	0.026395260660209523	0.0	4.643026567365471e-12	
2.0	0.5702842473983765	4.244007862335713	0	0	0	0	0	0	0	0	0	0.97052401304245	0.7510415315628052	0.055062174797058105	0.055062174797058105	0.6002254486083984	0.04571818640530341	0.04571818640530338	0.07513673311174147	0.0	9.50603517126461e-10	
3.0	0.10542821884155273	3.219070415056963	0	0	1	0	0	0	0	0	0	0.9777355790138245	0.2274101823568344	0.007211565971374512	0.007211565971374512	0.4311237037181854	0.15012346811339358	0.15012346811339358	0.2739211902742098	0.0	1.769312069929396e-07	
4.0	0.12906372547149658	2.478318478743465	0	0	1	0	0	1	0	0	0	0.9638656973838806	-0.2498290240764618	-0.013869881629943848	-0.013869881629943848	0.5713573694229126	0.21999172366518013	0.2199917236651802	0.297722751864376	0.0	1.4569560618252458e-05	
5.0	0.07291233539581299	1.3429116721809042	0	0	1	0	0	1	0	0	0	0.954046905040741	0.09883235394954681	-0.009818792343139648	-0.009818792343139648	0.8519726991653442	0.5148599423804181	0.5148599423804181	0.7001462705769437	0.0	0.002249433568875414	
6.0	0.6090092062950134	0.6656881614945493	0	1	0	0	0	1	0	0	0	0.9327210187911987	-0.762119710445404	-0.021325886249542236	-0.021325886249542236	0.6461604833602905	0.9963042703315153	0.9963042703315164	1.977353986804141	0.0	0.06677195792076418	
7.0	0.19816631078720093	0.5117817422349158	0	1	0	0	0	1	0	0	0	0.9551600813865662	0.8898207545280457	0.02243906259536743	0.02243906259536743	0.2795960307121277	0.7374213890996177	0.7374213890996179	1.4507043914761741	0.0	0.1290381357903243	
8.0	0.2871156521141529	1.308761141327975	0	0	1	0	0	1	0	0	0	0.974107563495636	0.05102018639445305	0.018947482109069824	0.018947482109069824	0.38262835144996643	0.023333411907537075	0.023333411907537065	0.04634640203951129	0.0	0.0035197533727114204	
9.0	0.3758911304175854	2.608933744142567	0	0	1	0	0	0	0	0	0	0.952828049659729	-0.08801388740539551	-0.021279513835906982	-0.021279513835906982	0.3822782635688782	0.005903555481002365	0.005903555481002363	0.011580844810471568	0.0	8.99145723849415e-06	
10.0	0.09179487824440002	2.7104114524889598	0	0	1	0	0	0	0	0	0	0.9055657386779785	0.9364076852798462	-0.04726231098175049	-0.04726231098175049	0.8990878462791443	0.00020589477584105614	0.00020589477584105614	0.0003921377248257834	0.0	2.423023138406824e-06	
11.0	0.5092451870441437	3.0626519550851885	0	0	1	0	0	0	0	0	0	0.9589105248451233	0.9816962480545044	0.053344786167144775	0.053344786167144775	0.9114400744438171	1.4417070004418638e-05	1.4417070004418635e-05	1.8866155285940186e-05	0.0	3.8063660179657303e-07	
12.0	0.5198951363563538	3.475302263119292	0	0	1	0	0	1	0	0	0	0.9397647976875305	0.8832080364227295	-0.019145727157592773	-0.019145727157592773	0.553825318813324	9.83705556281934e-08	9.837055562819324e-08	1.9658889220316677e-07	0.0	6.366311496049309e-08	
13.0	0.05898362398147583	3.462663149784251	0	0	1	0	0	1	0	0	0	0.9696983098983765	0.4566728174686432	0.029933512210845947	0.029933512210845947	0.853321373462677	1.9540489337710655e-08	1.9540489337710655e-08	3.903986212082674e-08	0.0	6.593217347823621e-08	
